,UniqueID,,Course,
,29,,ENEL475,
,29,,ENEL476,
,29,,ENEL519,
,29,,ENEL563,
,29,,ENEL583,
,29,,ENEL585,
,29,,ENEL587,
,29,,ENEL589,
,29,,ENEL597,
,29,,ENGG201,
,29,,ENGG205,
,29,,ENGG233,
,29,,ENGG251,
,29,,ENGG253,
,29,,ENGG319,
,29,,ENGG407,
,29,,ENGG513,
,29,,PHYS259,
,29,,PHYS369,
,29,,PSYC205,
,29,,STAS341,
,30,,ANTH203,
,30,,ART235,
,30,,ART397,
,30,,ASTR207,
,30,,ASTR209,
,30,,BIOL307,
,30,,CPSC203,
,30,,DNCE343,
,30,,DRAM360,
,30,,ECON341,
,30,,ECON357,
,30,,ECON359,
,30,,ECON377,
,30,,ECON379,
,30,,ECON395,
,30,,ECON403,
,30,,ECON425,
,30,,ECON479,
,30,,ECON495,
,30,,GEOG205,
,30,,GRST205,
,30,,HTST315,
,30,,MATH249,
,30,,MUHL309,
,30,,PHIL275,
,30,,PHYS211,
,30,,PSYC205,
,30,,PSYC353,
,30,,PSYC375,
,30,,PSYC385,
,30,,RELS201,
,31,,ANTH201,
,31,,ANTH311,
,31,,BCEM393,
,31,,BCEM431,
,31,,BCEM443,
,31,,BCEM543,
,31,,BIOL231,
,31,,BIOL233,
,31,,BIOL311,
,31,,BIOL313,
,31,,BIOL315,
,31,,BIOL331,
,31,,BIOL401,
,31,,BIOL515,
,31,,CHEM201,
,31,,CHEM203,
,31,,CHEM351,
,31,,CHEM353,
,31,,CMMB411,
,31,,CMMB523,
,31,,ENGL231,
,31,,ENGL235,
,31,,FREN315,
,31,,FREN317,
,31,,FREN339,
,31,,FREN349,
,31,,FREN359,
,31,,FREN415,
,31,,FREN439,
,31,,FREN599,
,31,,GLGY209,
,31,,GLGY307,
,31,,ITAL301,
,31,,ITAL305,
,31,,ITAL309,
,31,,LING203,
,31,,LING303,
,31,,LING319,
,31,,MATH211,
,31,,MATH249,
,31,,PHIL279,
,31,,PHYS211,
,31,,PHYS223,
,31,,PSYC205,
,31,,ROST299,
,31,,SPAN321,
,31,,SPAN323,
